client_id,date,cost,voucher,client_feedback
10000,2022-03-22,2.09,20PCT,
10000,2022-10-24,77.7,NO,
10000,2022-12-10,105.05,5PCT,The virtual try-on feature for glasses was surprisingly accurate.
10000,2023-04-12,120.8,NO,
10000,2023-06-11,134.75,NO,
10000,2023-06-18,169.62,5PCT,
10000,2023-07-14,43.3,5PCT,
10000,2023-09-20,234.37,NO,"Discount code worked like a charm, saved me some money."
10001,2022-04-12,6.63,$50,
10001,2022-05-29,234.24,$50,
10001,2022-07-16,94.84,NO,
10001,2022-11-24,84.23,NO,
10001,2023-01-31,7.81,NO,
10001,2023-03-02,126.66,5PCT,The loyalty program offers fantastic perks and discounts.
10001,2023-07-11,116.68,NO,
10001,2023-09-29,103.66,NO,
10001,2023-10-12,141.18,NO,
10002,2022-07-23,72.1,NO,Excellent packaging; my fragile items arrived intact.
10003,2022-02-26,117.04,10PCT,"Received exactly what I ordered, no surprises."
10003,2022-05-15,273.75,5PCT,
10003,2022-10-11,143.85,5PCT,"Love the 'buy now, pay later' option, makes budgeting easier."
10003,2023-03-07,72.5,NO,
10003,2023-07-30,253.09,5PCT,"Great deals during the sale, I stocked up on essentials."
10003,2023-11-02,141.42,10PCT,The website's search functionality made finding specific items easy.
10004,2022-06-13,55.45,NO,
10004,2022-09-30,48.66,NO,
10004,2022-10-30,63.28,NO,The loyalty program rewards are genuinely valuable.
10004,2023-08-04,109.54,10PCT,
10005,2022-08-24,80.01,NO,
10006,2022-06-12,187.29,NO,"The product was exactly as described, no misleading information."
10006,2022-08-22,231.67,20PCT,The product quality exceeded my expectations!
10006,2022-09-04,83.77,NO,
10006,2023-01-09,203.5,5PCT,Impressed with the range of payment options available.
10006,2023-11-10,66.57,NO,
10007,2022-03-12,58.68,NO,"Received a complimentary gift with my purchase, a pleasant surprise!"
10007,2022-05-15,91.2,NO,
10007,2023-10-02,80.93,NO,"Received a complimentary gift with my purchase, a pleasant surprise!"
10007,2023-12-09,72.84,10PCT,"Impressive selection of products, found exactly what I was looking for."
10008,2023-01-03,144.72,NO,
10008,2023-04-26,113.72,5PCT,
10008,2023-06-16,68.61,5PCT,
10008,2023-10-04,282.4,NO,
10008,2023-10-07,137.6,NO,
10009,2022-07-15,198.94,5PCT,
10009,2022-12-02,171.74,NO,
10010,2023-09-21,179.56,5PCT,
10011,2022-06-02,276.43,NO,"Received a complimentary gift with my purchase, a pleasant surprise!"
10011,2023-01-10,186.7,NO,"Discount code worked like a charm, saved me some money."
10011,2023-05-10,111.45,5PCT,
10011,2023-11-27,47.97,NO,The website layout made finding what I needed a breeze.
10011,2023-12-10,286.31,NO,Accurate product dimensions helped me visualize the size.
10012,2022-03-24,220.63,NO,
10012,2022-08-26,69.0,NO,
10012,2023-02-27,282.59,NO,"The sizing guide was accurate, and my clothes fit perfectly."
10012,2023-06-17,215.6,NO,The mobile app is user-friendly and convenient for shopping on the go.
10013,2023-06-15,85.29,NO,
10013,2023-11-12,26.28,NO,
10014,2022-01-05,185.93,5PCT,Impressed with the range of payment options available.
10014,2022-02-22,157.2,NO,
10014,2022-03-15,102.78,NO,"Discount code worked like a charm, saved me some money."
10014,2022-07-07,193.81,NO,
10014,2023-01-24,17.88,NO,Excellent packaging; my fragile items arrived intact.
10014,2023-02-24,30.82,NO,The loyalty points system encourages me to keep coming back.
10014,2023-07-22,295.03,20PCT,
10014,2023-11-17,241.69,NO,The checkout process is streamlined; it took just a few minutes.
10015,2022-07-08,107.98,NO,Impressive variety of payment options cater to different preferences.
10016,2022-06-13,148.1,NO,The loyalty program offers fantastic perks and discounts.
10016,2022-06-17,131.74,NO,Regular email updates on upcoming sales and promotions.
10016,2022-08-12,256.78,5PCT,"Secure payment gateway, felt confident entering my details."
10016,2023-04-10,4.19,5PCT,
10016,2023-04-26,58.68,NO,
10016,2023-05-25,247.25,5PCT,
10016,2023-06-16,226.72,10PCT,
10016,2023-09-09,246.39,5PCT,
10016,2023-12-25,263.01,NO,
10017,2022-07-16,241.12,NO,
10017,2022-08-01,50.14,5PCT,
10017,2022-08-10,270.95,5PCT,
10017,2023-02-10,281.16,5PCT,
10017,2023-08-09,13.12,NO,
10018,2022-02-10,193.47,NO,"Love the 'buy now, pay later' option, makes budgeting easier."
10018,2022-04-21,175.96,NO,Detailed FAQs on the website answered most of my questions.
10018,2022-06-19,299.89,5PCT,
10018,2023-01-15,51.89,5PCT,
10018,2023-02-20,173.39,NO,
10018,2023-03-05,228.12,5PCT,
10018,2023-05-20,267.69,NO,
10018,2023-06-22,140.83,NO,
10018,2023-07-25,187.82,NO,
10019,2023-03-08,218.57,20PCT,The virtual try-on feature for glasses was surprisingly accurate.
10019,2023-03-26,67.71,10PCT,Product arrived well-packaged and in perfect condition.
10019,2023-06-06,70.12,10PCT,The website layout made finding what I needed a breeze.
10020,2022-02-13,110.5,5PCT,The online reviews were accurate; the product lived up to the hype.
10021,2022-01-04,250.51,NO,
10021,2022-03-19,175.19,5PCT,
10021,2022-04-24,192.42,5PCT,
10021,2022-07-11,178.01,NO,
10021,2023-04-04,18.59,5PCT,
10021,2023-06-05,58.12,NO,
10022,2022-01-03,74.05,20PCT,
10022,2022-01-03,255.1,10PCT,Real-time customer support chat helped me resolve a query instantly.
10022,2022-05-11,47.12,NO,
10022,2022-12-04,29.42,NO,
10022,2023-05-10,236.35,20PCT,Accurate product dimensions helped me visualize the size.
10023,2022-01-01,109.32,NO,
10023,2022-03-15,195.49,10PCT,
10023,2023-01-26,99.99,NO,
10023,2023-03-29,232.24,5PCT,"The website loads quickly, even during peak traffic times."
10023,2023-07-26,60.13,20PCT,
10023,2023-12-21,135.96,NO,
10024,2022-08-02,134.06,NO,"Super fast shipping, got my order within two days!"
10024,2023-06-03,237.87,10PCT,
10025,2022-04-28,110.86,$50,
10025,2022-07-15,112.98,5PCT,
10025,2022-08-14,210.76,5PCT,"No hidden fees, the total cost was transparent from the beginning."
10025,2022-10-11,137.93,NO,
10025,2023-08-10,218.08,NO,
10025,2023-08-21,108.1,NO,
10025,2023-11-29,123.49,10PCT,"Great customer service, resolved my issue quickly."
10026,2022-05-06,230.7,10PCT,
10026,2022-05-30,116.4,NO,
10026,2023-09-15,275.13,NO,Accurate product dimensions helped me visualize the size.
10027,2023-02-22,5.45,NO,
10027,2023-05-18,130.22,NO,The sizing chart was spot-on; my shoes fit perfectly.
10027,2023-06-03,296.26,NO,
10027,2023-06-22,73.41,NO,I appreciated the eco-friendly packaging choice.
10028,2022-07-05,226.38,NO,
10028,2022-12-05,177.59,NO,Real-time customer support chat helped me resolve a query instantly.
10028,2022-12-20,25.56,10PCT,
10028,2023-07-16,76.51,5PCT,The website's search functionality made finding specific items easy.
10029,2022-10-29,202.92,NO,
10030,2023-11-12,216.68,10PCT,
10031,2022-01-22,143.05,NO,"Impressive selection of products, found exactly what I was looking for."
10031,2022-02-07,273.61,NO,The mobile app is user-friendly and convenient for shopping on the go.
10031,2022-06-23,128.33,5PCT,
10031,2022-11-03,190.71,10PCT,
10031,2022-11-06,191.53,10PCT,
10031,2022-12-09,169.38,NO,Detailed product descriptions helped me make an informed choice.
10031,2022-12-22,178.09,10PCT,"Love the 'buy now, pay later' option, makes budgeting easier."
10031,2023-03-07,72.39,NO,
10031,2023-09-19,91.3,NO,
10032,2022-05-12,148.84,10PCT,
10033,2022-01-21,274.22,NO,
10033,2022-03-16,259.46,5PCT,The reviews were helpful in making my purchase decision.
10033,2022-09-11,119.06,NO,
10033,2022-09-30,135.26,NO,
10033,2022-10-03,121.08,NO,
10033,2022-11-15,116.21,NO,"No hidden fees, the total cost was transparent from the beginning."
10033,2022-12-21,291.22,NO,
10033,2023-10-01,108.25,5PCT,
10034,2022-12-05,147.1,NO,
10034,2023-05-10,271.22,NO,
10035,2022-01-15,110.54,NO,
10035,2023-05-05,260.71,NO,"Discount code worked like a charm, saved me some money."
10036,2022-04-02,92.32,NO,
10036,2022-10-08,239.98,NO,
10036,2023-11-01,73.07,NO,Efficient order confirmation and dispatch notifications.
10037,2022-05-20,110.34,NO,
10037,2022-07-25,56.55,20PCT,
10037,2022-10-01,148.59,NO,
10037,2022-10-31,85.73,5PCT,"No hidden fees, the total cost was transparent from the beginning."
10037,2022-11-15,43.5,10PCT,
10037,2023-05-08,75.62,5PCT,"Great deals during the sale, I stocked up on essentials."
10037,2023-10-04,179.04,NO,
10037,2023-10-09,254.96,20PCT,
10038,2022-07-12,19.83,NO,
10038,2022-08-08,190.44,5PCT,
10038,2023-07-04,210.65,NO,
10039,2022-01-21,131.53,NO,
10039,2022-09-06,274.0,NO,
10039,2023-04-07,274.31,NO,The online reviews were accurate; the product lived up to the hype.
10039,2023-07-14,151.24,20PCT,
10039,2023-10-05,191.29,NO,"The packaging was eco-friendly, kudos for sustainability efforts."
10040,2022-01-04,281.09,NO,
10040,2023-09-25,292.74,NO,The checkout process is streamlined; it took just a few minutes.
10041,2022-03-23,107.75,NO,
10041,2023-01-18,31.98,NO,
10041,2023-02-09,208.28,NO,"Constant updates on the shipping status, appreciated the communication."
10041,2023-02-23,110.79,10PCT,"Discount code worked like a charm, saved me some money."
10041,2023-03-12,34.05,10PCT,
10041,2023-05-27,219.23,NO,
10041,2023-07-21,121.78,NO,
10041,2023-10-15,28.8,NO,
10041,2023-11-15,236.88,NO,The live chat feature was helpful for quick inquiries.
10042,2022-01-29,34.02,NO,
10042,2022-10-23,54.33,20PCT,"Love the 'buy now, pay later' option, makes budgeting easier."
10043,2022-03-19,272.18,NO,
10043,2022-06-01,254.77,20PCT,
10043,2022-08-15,151.24,NO,
10043,2022-11-29,282.73,5PCT,Product arrived well-packaged and in perfect condition.
10043,2023-04-16,194.73,10PCT,The checkout process is streamlined; it took just a few minutes.
10043,2023-06-27,108.29,NO,
10043,2023-10-28,100.04,NO,
10043,2023-11-07,7.71,10PCT,
10044,2022-03-04,49.09,NO,
10044,2022-04-28,227.23,10PCT,
10044,2022-08-08,198.36,NO,
10044,2022-11-13,44.99,5PCT,
10044,2022-12-15,272.96,10PCT,
10044,2023-01-07,142.24,NO,
10044,2023-12-07,134.23,NO,Excellent packaging; my fragile items arrived intact.
10045,2022-02-16,121.14,5PCT,I appreciated the eco-friendly packaging choice.
10045,2022-03-22,288.87,5PCT,Excellent packaging; my fragile items arrived intact.
10045,2022-04-16,107.5,5PCT,
10045,2022-06-14,262.62,NO,"Love the personalized packaging, adds a nice touch."
10045,2022-06-20,75.97,NO,
10045,2022-10-14,98.92,NO,
10045,2023-07-16,229.45,5PCT,
10045,2023-08-31,54.0,10PCT,
10046,2022-03-03,174.65,NO,
10046,2022-10-10,38.36,5PCT,
10046,2022-11-17,198.61,10PCT,"Received exactly what I ordered, no surprises."
10046,2022-12-06,143.59,10PCT,
10046,2023-07-03,49.74,NO,
10046,2023-08-02,101.94,10PCT,Product arrived well-packaged and in perfect condition.
10046,2023-09-25,15.6,NO,
10047,2022-01-10,139.6,5PCT,
10047,2022-04-07,173.39,NO,
10047,2022-05-18,19.27,NO,
10047,2022-10-20,29.23,NO,
10047,2023-04-27,193.48,10PCT,"Impressive selection of products, found exactly what I was looking for."
10047,2023-09-11,220.65,10PCT,"The tracking system was accurate, knew exactly when my package would arrive."
10047,2023-09-23,158.85,5PCT,The mobile app is user-friendly and convenient for shopping on the go.
10047,2023-09-30,136.08,NO,"Easy checkout process, very user-friendly."
10047,2023-12-18,259.4,NO,
10048,2022-01-06,12.27,NO,Efficient order confirmation and dispatch notifications.
10048,2022-03-20,71.22,10PCT,The sizing chart was spot-on; my shoes fit perfectly.
10048,2022-03-27,53.55,10PCT,
10048,2022-04-17,93.34,10PCT,Smooth payment process with multiple options available.
10048,2022-07-28,6.12,NO,
10048,2022-12-02,276.74,NO,
10048,2023-03-23,64.56,NO,
10048,2023-03-28,54.88,NO,
10048,2023-11-05,257.01,5PCT,
10049,2022-01-18,235.85,5PCT,
10049,2023-06-13,277.38,NO,Impressive variety of payment options cater to different preferences.
10050,2022-04-14,85.98,5PCT,
10050,2022-08-11,268.01,5PCT,Secure and encrypted payment process; my information felt safe.
10050,2023-03-06,254.22,NO,
10050,2023-07-05,143.62,NO,The product quality exceeded my expectations!
10050,2023-10-28,155.01,NO,
10051,2022-07-18,59.89,NO,
10051,2022-08-29,101.16,10PCT,
10051,2022-09-25,296.28,NO,The online reviews were accurate; the product lived up to the hype.
10051,2022-10-31,141.6,NO,
10051,2023-03-25,100.64,NO,
10051,2023-05-22,18.73,5PCT,"Secure payment gateway, felt confident entering my details."
10052,2022-09-14,184.62,5PCT,
10052,2022-10-04,160.41,NO,
10052,2022-12-18,107.31,20PCT,"Love the personalized packaging, adds a nice touch."
10052,2023-08-04,108.71,5PCT,
10052,2023-08-26,260.89,5PCT,
10052,2023-09-20,214.87,NO,"The sizing guide was accurate, and my clothes fit perfectly."
10052,2023-10-22,31.21,NO,
10052,2023-12-15,153.39,10PCT,
10052,2023-12-30,200.92,NO,The online community and forums are a great resource for product recommendations.
10053,2022-07-29,105.21,NO,
10053,2023-07-31,153.06,NO,
10053,2023-11-16,183.67,5PCT,
10054,2022-10-15,112.97,5PCT,
10054,2023-02-15,256.39,NO,"Secure payment gateway, felt confident entering my details."
10054,2023-05-01,142.74,NO,
10054,2023-07-09,291.05,NO,
10055,2022-01-24,192.73,20PCT,"Prompt response from customer support, answered my queries effectively."
